"Time","eth1/1"
2025-08-08 03:39:56,9.22 EB
2025-08-08 03:40:06,8.28 EB
2025-08-08 03:40:16,5.68 EB
2025-08-08 03:40:28,8.23 EB
2025-08-08 03:40:38,3.70 EB
2025-08-08 03:40:48,9.12 EB
2025-08-08 03:40:58,9.22 EB
2025-08-08 03:41:08,1.97 EB
2025-08-08 03:41:18,9.22 EB
2025-08-08 03:41:28,9.22 EB
2025-08-08 03:41:38,9.22 EB
2025-08-08 03:41:48,6.44 EB
2025-08-08 03:41:58,9.22 EB
2025-08-08 03:42:08,7.66 EB
2025-08-08 03:42:18,9.22 EB
2025-08-08 03:42:28,9.22 EB
2025-08-08 03:42:38,7.60 EB
2025-08-08 03:42:48,4.28 EB
2025-08-08 03:42:58,9.22 EB
2025-08-08 03:43:08,6.45 EB
2025-08-08 03:43:18,354 PB
2025-08-08 03:43:28,9.22 EB
2025-08-08 03:43:38,2.93 EB
2025-08-08 03:43:48,7.70 EB
2025-08-08 03:43:58,3.28 EB
2025-08-08 03:44:08,9.16 EB
2025-08-08 03:44:18,8.31 EB
2025-08-08 03:44:28,7.56 EB
2025-08-08 03:44:38,9.22 EB
2025-08-08 03:44:48,9.22 EB
2025-08-08 03:44:58,9.22 EB
2025-08-08 03:45:08,5.55 EB
2025-08-08 03:45:18,9.22 EB
2025-08-08 03:45:28,9.22 EB
2025-08-08 03:45:38,9.22 EB
2025-08-08 03:45:48,9.22 EB
2025-08-08 03:45:58,550 PB
2025-08-08 03:46:08,9.22 EB
2025-08-08 03:46:18,7.72 EB
2025-08-08 03:46:28,9.22 EB
2025-08-08 03:46:38,9.22 EB
2025-08-08 03:46:48,9.22 EB
2025-08-08 03:46:58,5.72 EB
2025-08-08 03:47:08,9.22 EB
2025-08-08 03:47:18,9.22 EB
2025-08-08 03:47:28,9.22 EB
2025-08-08 03:47:38,9.22 EB
2025-08-08 03:47:48,6.18 EB
2025-08-08 03:47:58,2.76 EB
2025-08-08 03:48:08,9.22 EB
2025-08-08 03:48:18,9.22 EB
2025-08-08 03:48:28,9.22 EB
2025-08-08 03:48:38,6.09 EB
2025-08-08 03:48:48,6.18 EB
2025-08-08 03:48:58,9.22 EB
2025-08-08 03:49:08,9.22 EB
2025-08-08 03:49:18,8.47 EB
2025-08-08 03:49:28,9.00 EB
2025-08-08 03:49:38,8.98 EB
2025-08-08 03:49:48,7.74 EB
2025-08-08 03:49:58,9.04 EB
2025-08-08 03:50:08,9.22 EB
2025-08-08 03:50:18,9.22 EB
2025-08-08 03:50:28,9.22 EB
2025-08-08 03:50:36,9.22 EB
2025-08-08 03:50:46,9.22 EB
2025-08-08 03:50:56,9.22 EB
2025-08-08 03:51:06,9.22 EB
2025-08-08 03:51:16,344 PB
2025-08-08 03:51:26,9.22 EB
2025-08-08 03:51:36,9.22 EB
2025-08-08 03:51:46,9.22 EB
2025-08-08 03:51:56,9.22 EB
2025-08-08 03:52:06,4.72 EB
2025-08-08 03:52:16,1.82 EB
2025-08-08 03:52:26,9.22 EB
2025-08-08 03:52:36,5.34 EB
2025-08-08 03:52:46,844 PB
2025-08-08 03:52:56,9.22 EB
2025-08-08 03:53:06,9.22 EB
2025-08-08 03:53:16,4.29 EB
2025-08-08 03:53:26,9.22 EB
2025-08-08 03:53:36,9.22 EB
2025-08-08 03:53:46,4.22 EB
2025-08-08 03:53:56,9.22 EB
2025-08-08 03:54:06,9.22 EB
2025-08-08 03:54:16,9.22 EB
2025-08-08 03:54:26,9.22 EB
2025-08-08 03:54:36,3.77 EB
2025-08-08 03:54:46,9.22 EB
2025-08-08 03:54:56,9.22 EB
2025-08-08 03:55:06,3.20 EB
2025-08-08 03:55:16,9.22 EB
2025-08-08 03:55:26,7.24 EB
2025-08-08 03:55:36,2.62 EB
2025-08-08 03:55:46,8.92 EB
2025-08-08 03:55:56,7.30 EB
2025-08-08 03:56:06,9.22 EB
2025-08-08 03:56:16,5.44 EB
2025-08-08 03:56:26,9.22 EB
2025-08-08 03:56:36,7.03 EB
2025-08-08 03:56:46,287 PB
2025-08-08 03:56:56,219 PB
2025-08-08 03:57:06,8.31 EB
2025-08-08 03:57:16,7.66 EB
2025-08-08 03:57:26,9.22 EB
2025-08-08 03:57:36,6.39 EB
2025-08-08 03:57:46,9.22 EB
2025-08-08 03:57:56,8.59 EB
2025-08-08 03:58:06,2.30 EB
2025-08-08 03:58:16,8.23 EB
2025-08-08 03:58:26,9.22 EB
2025-08-08 03:58:36,9.22 EB
2025-08-08 03:58:46,4.29 EB
2025-08-08 03:58:56,9.22 EB
2025-08-08 03:59:06,3.03 EB
2025-08-08 03:59:16,6.99 EB
2025-08-08 03:59:26,4.23 EB
2025-08-08 03:59:40,2.86 EB
2025-08-08 03:59:46,2.86 EB
2025-08-08 03:59:56,9.22 EB
2025-08-08 04:00:06,9.22 EB
2025-08-08 04:00:16,5.30 EB
2025-08-08 04:00:26,5.67 EB
2025-08-08 04:00:36,9.22 EB
2025-08-08 04:00:46,9.22 EB
2025-08-08 04:00:56,1.53 EB
2025-08-08 04:01:06,3.29 EB
2025-08-08 04:01:16,9.22 EB
2025-08-08 04:01:26,4.85 EB
2025-08-08 04:01:36,9.22 EB
2025-08-08 04:01:46,9.22 EB
2025-08-08 04:01:56,6.88 EB
2025-08-08 04:02:06,9.22 EB
2025-08-08 04:02:16,9.22 EB
2025-08-08 04:02:26,9.06 EB
2025-08-08 04:02:36,2.02 EB
2025-08-08 04:02:46,9.22 EB
2025-08-08 04:02:56,5.52 EB
2025-08-08 04:03:06,9.22 EB
2025-08-08 04:03:16,2.20 EB
2025-08-08 04:03:26,9.22 EB
2025-08-08 04:03:36,5.82 EB
2025-08-08 04:03:46,5.89 EB
2025-08-08 04:03:56,9.22 EB
2025-08-08 04:04:06,7.31 EB
2025-08-08 04:04:16,3.34 EB
2025-08-08 04:04:26,9.22 EB
2025-08-08 04:04:36,9.22 EB
2025-08-08 04:04:46,9.22 EB
2025-08-08 04:04:56,9.22 EB
2025-08-08 04:05:06,9.22 EB
2025-08-08 04:05:16,9.22 EB
2025-08-08 04:05:26,5.84 EB
2025-08-08 04:05:36,6.78 EB
2025-08-08 04:05:46,9.22 EB
2025-08-08 04:05:56,9.22 EB
2025-08-08 04:06:06,8.67 EB
2025-08-08 04:06:16,9.22 EB
2025-08-08 04:06:26,9.22 EB
2025-08-08 04:06:36,3.93 EB
2025-08-08 04:06:46,9.22 EB
2025-08-08 04:06:56,9.22 EB
2025-08-08 04:07:06,714 PB
2025-08-08 04:07:16,1.15 EB
2025-08-08 04:07:26,676 PB
2025-08-08 04:07:36,3.55 EB
2025-08-08 04:07:46,9.22 EB
2025-08-08 04:07:56,5.64 EB
2025-08-08 04:08:06,718 PB
2025-08-08 04:08:16,9.22 EB
2025-08-08 04:08:26,7.53 EB
2025-08-08 04:08:36,6.50 EB
2025-08-08 04:08:46,9.22 EB
2025-08-08 04:08:56,6.29 EB
2025-08-08 04:09:06,9.22 EB
2025-08-08 04:09:16,9.22 EB
2025-08-08 04:09:26,7.57 EB
2025-08-08 04:09:36,7.86 EB
2025-08-08 04:09:46,9.22 EB
2025-08-08 04:09:56,3.20 EB
2025-08-08 04:10:06,9.22 EB
2025-08-08 04:10:16,3.21 EB
2025-08-08 04:10:26,9.22 EB
2025-08-08 04:10:36,4.85 EB
2025-08-08 04:10:46,9.22 EB
2025-08-08 04:10:56,3.39 EB
2025-08-08 04:11:06,3.56 EB
2025-08-08 04:11:16,9.22 EB
2025-08-08 04:11:26,9.22 EB
2025-08-08 04:11:36,167 PB
2025-08-08 04:11:46,9.22 EB
2025-08-08 04:11:56,938 PB
2025-08-08 04:12:06,9.22 EB
2025-08-08 04:12:16,8.86 EB
2025-08-08 04:12:26,7.49 EB
2025-08-08 04:12:36,7.25 EB
2025-08-08 04:12:46,9.22 EB
2025-08-08 04:12:56,727 PB
2025-08-08 04:13:06,9.22 EB
2025-08-08 04:13:16,9.22 EB
2025-08-08 04:13:26,9.22 EB
2025-08-08 04:13:36,9.22 EB
2025-08-08 04:13:46,3.45 EB
2025-08-08 04:13:56,5.71 EB
2025-08-08 04:14:06,5.24 EB
2025-08-08 04:14:16,6.78 EB
2025-08-08 04:14:26,883 PB
2025-08-08 04:14:36,9.22 EB
2025-08-08 04:14:46,5.48 EB
2025-08-08 04:14:56,4.76 EB
2025-08-08 04:15:06,9.22 EB
2025-08-08 04:15:16,9.22 EB
2025-08-08 04:15:26,1.63 EB
2025-08-08 04:15:36,5.13 EB
2025-08-08 04:15:46,9.22 EB
2025-08-08 04:15:56,9.22 EB
2025-08-08 04:16:06,5.46 EB
