"Time","eth1/1","eth1/10","eth1/11","eth1/12","eth1/13","eth1/14","eth1/15","eth1/16","eth1/17","eth1/18","eth1/19","eth1/2","eth1/20","eth1/21","eth1/22","eth1/23","eth1/24","eth1/25","eth1/26","eth1/27","eth1/28","eth1/29","eth1/3","eth1/30","eth1/31","eth1/32","eth1/33","eth1/34","eth1/35","eth1/36","eth1/37","eth1/38","eth1/39","eth1/4","eth1/40","eth1/41","eth1/42","eth1/43","eth1/44","eth1/45","eth1/46","eth1/47","eth1/48","eth1/49","eth1/5","eth1/50","eth1/51","eth1/52","eth1/53","eth1/54","eth1/55","eth1/56","eth1/57","eth1/58","eth1/59","eth1/6","eth1/60","eth1/61","eth1/62","eth1/63","eth1/64","eth1/7","eth1/8","eth1/9"
2025-08-08 03:49:58,9.04 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:08,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:18,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:28,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:36,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,5.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:46,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:50:56,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,2.55 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:51:06,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,1.58 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:51:16,344 PB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,6.31 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
2025-08-08 03:51:26,9.22 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,5.06 EB,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,0 B,146 GB,0 B,0 B
